,Unnamed: 0,filenames,folder_name,durations,view,labels,metadata,labels_single
959,959,0013_137_16484-16548_4.mp4,,64,center,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_137_16484-16548_4', 'start_frame': 16420, 'end_frame': 16484, 'label': [4], 'view': 'center', 'filenames': '0013_137_16484-16548_4.mp4', 'durations': 64}",4
960,960,0013_139_16679-16743_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_139_16679-16743_8', 'start_frame': 16615, 'end_frame': 16679, 'label': [8], 'view': 'center', 'filenames': '0013_139_16679-16743_8.mp4', 'durations': 64}",8
961,961,0013_140_16743-16807_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_140_16743-16807_8', 'start_frame': 16679, 'end_frame': 16743, 'label': [8], 'view': 'center', 'filenames': '0013_140_16743-16807_8.mp4', 'durations': 64}",8
962,962,0013_141_16906-16970_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_141_16906-16970_8', 'start_frame': 16743, 'end_frame': 16807, 'label': [8], 'view': 'center', 'filenames': '0013_141_16906-16970_8.mp4', 'durations': 64}",8
963,963,0013_142_16970-17034_12.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"{'sample_id': '0013_142_16970-17034_12', 'start_frame': 16906, 'end_frame': 16970, 'label': [12], 'view': 'center', 'filenames': '0013_142_16970-17034_12.mp4', 'durations': 64}",12
964,964,0013_143_17184-17248_12.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"{'sample_id': '0013_143_17184-17248_12', 'start_frame': 16970, 'end_frame': 17034, 'label': [12], 'view': 'center', 'filenames': '0013_143_17184-17248_12.mp4', 'durations': 64}",12
965,965,0013_144_17248-17312_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_144_17248-17312_8', 'start_frame': 17184, 'end_frame': 17248, 'label': [8], 'view': 'center', 'filenames': '0013_144_17248-17312_8.mp4', 'durations': 64}",8
966,966,0013_145_17296-17360_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_145_17296-17360_8', 'start_frame': 17248, 'end_frame': 17312, 'label': [8], 'view': 'center', 'filenames': '0013_145_17296-17360_8.mp4', 'durations': 64}",8
967,967,0013_146_17369-17433_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_146_17369-17433_8', 'start_frame': 17296, 'end_frame': 17360, 'label': [8], 'view': 'center', 'filenames': '0013_146_17369-17433_8.mp4', 'durations': 64}",8
968,968,0013_147_17433-17497_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_147_17433-17497_8', 'start_frame': 17369, 'end_frame': 17433, 'label': [8], 'view': 'center', 'filenames': '0013_147_17433-17497_8.mp4', 'durations': 64}",8
969,969,0013_148_17485-17549_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_148_17485-17549_8', 'start_frame': 17433, 'end_frame': 17497, 'label': [8], 'view': 'center', 'filenames': '0013_148_17485-17549_8.mp4', 'durations': 64}",8
970,970,0013_149_17549-17613_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_149_17549-17613_8', 'start_frame': 17485, 'end_frame': 17549, 'label': [8], 'view': 'center', 'filenames': '0013_149_17549-17613_8.mp4', 'durations': 64}",8
971,971,0013_150_17573-17637_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_150_17573-17637_8', 'start_frame': 17549, 'end_frame': 17613, 'label': [8], 'view': 'center', 'filenames': '0013_150_17573-17637_8.mp4', 'durations': 64}",8
972,972,0013_151_17606-17670_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_151_17606-17670_8', 'start_frame': 17573, 'end_frame': 17637, 'label': [8], 'view': 'center', 'filenames': '0013_151_17606-17670_8.mp4', 'durations': 64}",8
973,973,0013_152_17640-17704_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_152_17640-17704_8', 'start_frame': 17606, 'end_frame': 17670, 'label': [8], 'view': 'center', 'filenames': '0013_152_17640-17704_8.mp4', 'durations': 64}",8
974,974,0013_153_17687-17751_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_153_17687-17751_8', 'start_frame': 17640, 'end_frame': 17704, 'label': [8], 'view': 'center', 'filenames': '0013_153_17687-17751_8.mp4', 'durations': 64}",8
975,975,0013_154_17746-17810_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_154_17746-17810_8', 'start_frame': 17687, 'end_frame': 17751, 'label': [8], 'view': 'center', 'filenames': '0013_154_17746-17810_8.mp4', 'durations': 64}",8
976,976,0013_155_17810-17874_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_155_17810-17874_8', 'start_frame': 17746, 'end_frame': 17810, 'label': [8], 'view': 'center', 'filenames': '0013_155_17810-17874_8.mp4', 'durations': 64}",8
977,977,0013_156_17801-17865_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_156_17801-17865_8', 'start_frame': 17810, 'end_frame': 17874, 'label': [8], 'view': 'center', 'filenames': '0013_156_17801-17865_8.mp4', 'durations': 64}",8
978,978,0013_157_17830-17894_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_157_17830-17894_8', 'start_frame': 17801, 'end_frame': 17865, 'label': [8], 'view': 'center', 'filenames': '0013_157_17830-17894_8.mp4', 'durations': 64}",8
980,980,0013_159_17941-18005_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0013_159_17941-18005_13', 'start_frame': 17877, 'end_frame': 17941, 'label': [13], 'view': 'center', 'filenames': '0013_159_17941-18005_13.mp4', 'durations': 64}",13
981,981,0013_160_18016-18080_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0013_160_18016-18080_13', 'start_frame': 17941, 'end_frame': 18005, 'label': [13], 'view': 'center', 'filenames': '0013_160_18016-18080_13.mp4', 'durations': 64}",13
982,982,0013_161_18080-18144_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_161_18080-18144_2', 'start_frame': 18016, 'end_frame': 18080, 'label': [2], 'view': 'center', 'filenames': '0013_161_18080-18144_2.mp4', 'durations': 64}",2
983,983,0013_162_18257-18321_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_162_18257-18321_2', 'start_frame': 18080, 'end_frame': 18144, 'label': [2], 'view': 'center', 'filenames': '0013_162_18257-18321_2.mp4', 'durations': 64}",2
984,984,0013_163_18321-18385_4.mp4,,64,center,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_163_18321-18385_4', 'start_frame': 18257, 'end_frame': 18321, 'label': [4], 'view': 'center', 'filenames': '0013_163_18321-18385_4.mp4', 'durations': 64}",4
985,985,0013_165_18830-18894_4.mp4,,64,center,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_165_18830-18894_4', 'start_frame': 18610, 'end_frame': 18674, 'label': [4], 'view': 'center', 'filenames': '0013_165_18830-18894_4.mp4', 'durations': 64}",4
986,986,0013_166_18894-18958_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_166_18894-18958_8', 'start_frame': 18830, 'end_frame': 18894, 'label': [8], 'view': 'center', 'filenames': '0013_166_18894-18958_8.mp4', 'durations': 64}",8
987,987,0013_167_18893-18957_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_167_18893-18957_8', 'start_frame': 18894, 'end_frame': 18958, 'label': [8], 'view': 'center', 'filenames': '0013_167_18893-18957_8.mp4', 'durations': 64}",8
988,988,0013_168_18935-18999_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_168_18935-18999_8', 'start_frame': 18893, 'end_frame': 18957, 'label': [8], 'view': 'center', 'filenames': '0013_168_18935-18999_8.mp4', 'durations': 64}",8
989,989,0013_169_19018-19082_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_169_19018-19082_8', 'start_frame': 18935, 'end_frame': 18999, 'label': [8], 'view': 'center', 'filenames': '0013_169_19018-19082_8.mp4', 'durations': 64}",8
990,990,0013_170_19082-19146_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_170_19082-19146_7', 'start_frame': 19018, 'end_frame': 19082, 'label': [7], 'view': 'center', 'filenames': '0013_170_19082-19146_7.mp4', 'durations': 64}",7
991,991,0013_171_19200-19264_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_171_19200-19264_7', 'start_frame': 19082, 'end_frame': 19146, 'label': [7], 'view': 'center', 'filenames': '0013_171_19200-19264_7.mp4', 'durations': 64}",7
992,992,0013_172_19505-19569_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_172_19505-19569_0', 'start_frame': 19200, 'end_frame': 19264, 'label': [0], 'view': 'center', 'filenames': '0013_172_19505-19569_0.mp4', 'durations': 64}",0
993,993,0013_173_19569-19633_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_173_19569-19633_8', 'start_frame': 19505, 'end_frame': 19569, 'label': [8], 'view': 'center', 'filenames': '0013_173_19569-19633_8.mp4', 'durations': 64}",8
994,994,0013_174_19602-19666_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_174_19602-19666_8', 'start_frame': 19569, 'end_frame': 19633, 'label': [8], 'view': 'center', 'filenames': '0013_174_19602-19666_8.mp4', 'durations': 64}",8
995,995,0013_175_19658-19722_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_175_19658-19722_8', 'start_frame': 19602, 'end_frame': 19666, 'label': [8], 'view': 'center', 'filenames': '0013_175_19658-19722_8.mp4', 'durations': 64}",8
996,996,0013_176_19722-19786_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_176_19722-19786_8', 'start_frame': 19658, 'end_frame': 19722, 'label': [8], 'view': 'center', 'filenames': '0013_176_19722-19786_8.mp4', 'durations': 64}",8
997,997,0013_177_19786-19850_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_177_19786-19850_8', 'start_frame': 19722, 'end_frame': 19786, 'label': [8], 'view': 'center', 'filenames': '0013_177_19786-19850_8.mp4', 'durations': 64}",8
998,998,0013_178_19943-20007_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_178_19943-20007_8', 'start_frame': 19786, 'end_frame': 19850, 'label': [8], 'view': 'center', 'filenames': '0013_178_19943-20007_8.mp4', 'durations': 64}",8
999,999,0013_179_20063-20127_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_179_20063-20127_8', 'start_frame': 19943, 'end_frame': 20007, 'label': [8], 'view': 'center', 'filenames': '0013_179_20063-20127_8.mp4', 'durations': 64}",8
1000,1000,0013_180_20127-20191_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_180_20127-20191_8', 'start_frame': 20063, 'end_frame': 20127, 'label': [8], 'view': 'center', 'filenames': '0013_180_20127-20191_8.mp4', 'durations': 64}",8
1001,1001,0013_181_20191-20255_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_181_20191-20255_8', 'start_frame': 20127, 'end_frame': 20191, 'label': [8], 'view': 'center', 'filenames': '0013_181_20191-20255_8.mp4', 'durations': 64}",8
1002,1002,0013_182_20367-20431_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_182_20367-20431_8', 'start_frame': 20191, 'end_frame': 20255, 'label': [8], 'view': 'center', 'filenames': '0013_182_20367-20431_8.mp4', 'durations': 64}",8
1003,1003,0013_183_20431-20495_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_183_20431-20495_8', 'start_frame': 20367, 'end_frame': 20431, 'label': [8], 'view': 'center', 'filenames': '0013_183_20431-20495_8.mp4', 'durations': 64}",8
1005,1005,0013_185_20598-20662_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_185_20598-20662_7', 'start_frame': 20435, 'end_frame': 20499, 'label': [7], 'view': 'center', 'filenames': '0013_185_20598-20662_7.mp4', 'durations': 64}",7
1006,1006,0013_186_20662-20726_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_186_20662-20726_8', 'start_frame': 20598, 'end_frame': 20662, 'label': [8], 'view': 'center', 'filenames': '0013_186_20662-20726_8.mp4', 'durations': 64}",8
1007,1007,0013_187_20680-20744_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_187_20680-20744_8', 'start_frame': 20662, 'end_frame': 20726, 'label': [8], 'view': 'center', 'filenames': '0013_187_20680-20744_8.mp4', 'durations': 64}",8
1008,1008,0013_188_20744-20808_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_188_20744-20808_8', 'start_frame': 20680, 'end_frame': 20744, 'label': [8], 'view': 'center', 'filenames': '0013_188_20744-20808_8.mp4', 'durations': 64}",8
1010,1010,0013_190_20785-20849_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0013_190_20785-20849_13', 'start_frame': 20759, 'end_frame': 20823, 'label': [13], 'view': 'center', 'filenames': '0013_190_20785-20849_13.mp4', 'durations': 64}",13
1012,1012,0013_192_20905-20969_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_192_20905-20969_7', 'start_frame': 20841, 'end_frame': 20905, 'label': [7], 'view': 'center', 'filenames': '0013_192_20905-20969_7.mp4', 'durations': 64}",7
1013,1013,0013_193_21023-21087_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_193_21023-21087_7', 'start_frame': 20905, 'end_frame': 20969, 'label': [7], 'view': 'center', 'filenames': '0013_193_21023-21087_7.mp4', 'durations': 64}",7
1014,1014,0013_194_21087-21151_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_194_21087-21151_8', 'start_frame': 21023, 'end_frame': 21087, 'label': [8], 'view': 'center', 'filenames': '0013_194_21087-21151_8.mp4', 'durations': 64}",8
1015,1015,0013_195_21101-21165_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_195_21101-21165_8', 'start_frame': 21087, 'end_frame': 21151, 'label': [8], 'view': 'center', 'filenames': '0013_195_21101-21165_8.mp4', 'durations': 64}",8
1018,1018,0013_198_21274-21338_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_198_21274-21338_7', 'start_frame': 21210, 'end_frame': 21274, 'label': [7], 'view': 'center', 'filenames': '0013_198_21274-21338_7.mp4', 'durations': 64}",7
1019,1019,0013_199_21438-21502_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_199_21438-21502_7', 'start_frame': 21274, 'end_frame': 21338, 'label': [7], 'view': 'center', 'filenames': '0013_199_21438-21502_7.mp4', 'durations': 64}",7
1020,1020,0013_200_21784-21848_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_200_21784-21848_7', 'start_frame': 21438, 'end_frame': 21502, 'label': [7], 'view': 'center', 'filenames': '0013_200_21784-21848_7.mp4', 'durations': 64}",7
1021,1021,0013_201_21848-21912_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0013_201_21848-21912_11', 'start_frame': 21784, 'end_frame': 21848, 'label': [11], 'view': 'center', 'filenames': '0013_201_21848-21912_11.mp4', 'durations': 64}",11
1022,1022,0013_202_22014-22078_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0013_202_22014-22078_11', 'start_frame': 21848, 'end_frame': 21912, 'label': [11], 'view': 'center', 'filenames': '0013_202_22014-22078_11.mp4', 'durations': 64}",11
1023,1023,0013_203_22078-22142_12.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"{'sample_id': '0013_203_22078-22142_12', 'start_frame': 22014, 'end_frame': 22078, 'label': [12], 'view': 'center', 'filenames': '0013_203_22078-22142_12.mp4', 'durations': 64}",12
1024,1024,0013_204_22149-22213_12.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"{'sample_id': '0013_204_22149-22213_12', 'start_frame': 22078, 'end_frame': 22142, 'label': [12], 'view': 'center', 'filenames': '0013_204_22149-22213_12.mp4', 'durations': 64}",12
1026,1026,0013_206_22268-22332_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0013_206_22268-22332_11', 'start_frame': 22204, 'end_frame': 22268, 'label': [11], 'view': 'center', 'filenames': '0013_206_22268-22332_11.mp4', 'durations': 64}",11
1027,1027,0013_207_22544-22608_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0013_207_22544-22608_11', 'start_frame': 22268, 'end_frame': 22332, 'label': [11], 'view': 'center', 'filenames': '0013_207_22544-22608_11.mp4', 'durations': 64}",11
1028,1028,0013_208_22608-22672_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0013_208_22608-22672_11', 'start_frame': 22544, 'end_frame': 22608, 'label': [11], 'view': 'center', 'filenames': '0013_208_22608-22672_11.mp4', 'durations': 64}",11
1029,1029,0013_209_22885-22949_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0013_209_22885-22949_11', 'start_frame': 22608, 'end_frame': 22672, 'label': [11], 'view': 'center', 'filenames': '0013_209_22885-22949_11.mp4', 'durations': 64}",11
1030,1030,0013_210_23112-23176_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0013_210_23112-23176_8', 'start_frame': 22885, 'end_frame': 22949, 'label': [8], 'view': 'center', 'filenames': '0013_210_23112-23176_8.mp4', 'durations': 64}",8
1032,1032,0014_001_02512-02576_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_001_02512-02576_7', 'start_frame': 744, 'end_frame': 808, 'label': [7], 'view': 'center', 'filenames': '0014_001_02512-02576_7.mp4', 'durations': 64}",7
1033,1033,0014_002_02576-02640_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_002_02576-02640_7', 'start_frame': 2512, 'end_frame': 2576, 'label': [7], 'view': 'center', 'filenames': '0014_002_02576-02640_7.mp4', 'durations': 64}",7
1034,1034,0014_003_02875-02939_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_003_02875-02939_7', 'start_frame': 2576, 'end_frame': 2640, 'label': [7], 'view': 'center', 'filenames': '0014_003_02875-02939_7.mp4', 'durations': 64}",7
1035,1035,0014_004_03127-03191_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_004_03127-03191_8', 'start_frame': 2875, 'end_frame': 2939, 'label': [8], 'view': 'center', 'filenames': '0014_004_03127-03191_8.mp4', 'durations': 64}",8
1036,1036,0014_005_03451-03515_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_005_03451-03515_8', 'start_frame': 3127, 'end_frame': 3191, 'label': [8], 'view': 'center', 'filenames': '0014_005_03451-03515_8.mp4', 'durations': 64}",8
1037,1037,0014_006_03568-03632_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_006_03568-03632_8', 'start_frame': 3451, 'end_frame': 3515, 'label': [8], 'view': 'center', 'filenames': '0014_006_03568-03632_8.mp4', 'durations': 64}",8
1038,1038,0014_007_03903-03967_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_007_03903-03967_0', 'start_frame': 3568, 'end_frame': 3632, 'label': [0], 'view': 'center', 'filenames': '0014_007_03903-03967_0.mp4', 'durations': 64}",0
1039,1039,0014_008_04525-04589_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0014_008_04525-04589_13', 'start_frame': 3903, 'end_frame': 3967, 'label': [13], 'view': 'center', 'filenames': '0014_008_04525-04589_13.mp4', 'durations': 64}",13
1040,1040,0014_009_06789-06853_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_009_06789-06853_7', 'start_frame': 4525, 'end_frame': 4589, 'label': [7], 'view': 'center', 'filenames': '0014_009_06789-06853_7.mp4', 'durations': 64}",7
1042,1042,0014_011_09399-09463_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_011_09399-09463_7', 'start_frame': 6805, 'end_frame': 6869, 'label': [7], 'view': 'center', 'filenames': '0014_011_09399-09463_7.mp4', 'durations': 64}",7
1043,1043,0014_012_09459-09523_6.mp4,,64,center,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_012_09459-09523_6', 'start_frame': 9399, 'end_frame': 9463, 'label': [6], 'view': 'center', 'filenames': '0014_012_09459-09523_6.mp4', 'durations': 64}",6
1045,1045,0014_014_10263-10327_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_014_10263-10327_7', 'start_frame': 9482, 'end_frame': 9546, 'label': [7], 'view': 'center', 'filenames': '0014_014_10263-10327_7.mp4', 'durations': 64}",7
1046,1046,0014_015_10327-10391_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_015_10327-10391_7', 'start_frame': 10263, 'end_frame': 10327, 'label': [7], 'view': 'center', 'filenames': '0014_015_10327-10391_7.mp4', 'durations': 64}",7
1047,1047,0014_016_12098-12162_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_016_12098-12162_7', 'start_frame': 10327, 'end_frame': 10391, 'label': [7], 'view': 'center', 'filenames': '0014_016_12098-12162_7.mp4', 'durations': 64}",7
1048,1048,0014_018_15253-15317_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0014_018_15253-15317_8', 'start_frame': 15189, 'end_frame': 15253, 'label': [8], 'view': 'center', 'filenames': '0014_018_15253-15317_8.mp4', 'durations': 64}",8
